Player ID,Name,Last Name,Cost Today,Form,Position,Team,Selection %,Goals,Assists,Clean Sheets,GW Points,Total Points,Points/Game,Total Bonus Points,Total BPS,Goals Conceded,Minutes,YC,RC,Saves,Penalties Saved,Penalties Missed,Chance Of Playing Next,Total Cost Change,Cost Change GW,Total Transfers Out,Transfers Out GW,Total Transfers in,Transfers in GW,Influence,Creativity,Threat,ICT Index,Last GW,GW38,GW39,GW40,GW41,GW42,GW43,Difficulty Score,Cost Today,Total Cost Change,Cost Change GW,Position,Team,Index,xGi,xGc
1,Folarin,Balogun,£4.40,0,FWD,Arsenal,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-£0.10,£0.00,63644,15,10024,0,0,0,0,0,37,EVE (H),,,,,,2,44,-1,0,4,3,0,0,0
2,Cédric,Cédric,£3.80,0,DEF,Arsenal,0.5,0,0,0,0,3,1,0,15,0,59,0,0,0,0,0,,-£0.20,£0.00,69085,753,73627,706,2,4.3,0,0.6,37,EVE (H),,,,,,2,38,-2,0,2,3,0,0.03,0.59
3,Mohamed,M.Elneny,£4.40,0,MID,Arsenal,0.1,0,1,0,0,6,2,0,16,0,25,0,0,0,0,0,100,-£0.10,£0.00,20602,12,13650,34,4,2.1,10,1.6,37,EVE (H),,,,,,2,44,-1,0,3,3,0,0.33,0.47
4,Fábio,Fábio Vieira,£5.40,0.2,MID,Arsenal,0.1,1,3,1,0,24,2.2,0,67,2,290,0,1,0,0,0,100,-£0.10,£0.00,19238,9,11795,10,82.8,88.8,85,25.5,37,EVE (H),,,,,,2,54,-1,0,3,3,0.1,0.59,0.57
5,Gabriel,Gabriel,£5.40,5.4,DEF,Arsenal,27.9,3,1,16,7,148,4.2,8,666,25,2984,4,0,0,0,0,100,£0.40,£0.00,3557202,6053,3537813,18190,665.8,119.1,375,116.2,37,EVE (H),,,,,,2,54,4,0,2,3,2.7,0.15,0.78
6,Kai,Havertz,£7.50,8.2,MID,Arsenal,8.7,12,10,16,6,174,4.8,15,497,21,2537,10,0,0,0,0,100,£0.00,£0.00,820178,4013,1261511,65414,733.8,599.8,944,227.6,37,EVE (H),,,,,,2,75,0,0,3,3,4.1,0.53,0.73
8,Gabriel,G.Jesus,£7.70,2.2,FWD,Arsenal,2.6,4,7,11,1,84,3.2,10,265,11,1458,6,0,0,0,0,100,-£0.30,£0.00,1232551,1534,1142709,1167,360.4,390.7,749,150.3,37,EVE (H),,,,,,2,77,-3,0,4,3,1.1,0.58,0.72
9,Jorge Luiz,Jorginho,£5.30,0.4,MID,Arsenal,0.2,0,2,4,1,44,1.8,1,182,11,913,1,0,0,0,0,100,-£0.20,£0.00,22322,44,12239,41,165.4,187.8,16,36.8,37,EVE (H),,,,,,2,53,-2,0,3,3,0.2,0.18,0.83
10,Jakub,Kiwior,£4.10,1.6,DEF,Arsenal,0.7,1,3,6,1,67,3.4,1,260,8,942,1,0,0,0,0,,-£0.40,£0.00,197056,2234,252574,470,228.8,106.9,90,42.7,37,EVE (H),,,,,,2,41,-4,0,2,3,0.8,0.13,0.49
11,Marcus,Marquinhos,£4.50,0,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,11964,2,819,0,0,0,0,0,37,EVE (H),,,,,,2,45,0,0,3,3,0,0,0
12,Gabriel,Martinelli,£7.50,1,MID,Arsenal,4.2,6,5,10,1,116,3.4,6,382,22,1920,1,0,0,0,0,100,-£0.50,£0.00,2291361,1962,1279700,853,475.2,639.4,748,185.8,37,EVE (H),,,,,,2,75,-5,0,3,3,0.5,0.51,0.67
13,Eddie,Nketiah,£5.00,0,FWD,Arsenal,3.1,5,4,6,0,71,2.6,5,206,10,1065,3,0,0,0,0,100,-£0.50,£0.00,1711109,970,1586002,181,235,136.3,417,77.2,37,EVE (H),,,,,,2,50,-5,0,4,3,0,0.43,0.86
14,Martin,Ødegaard,£8.60,5.6,MID,Arsenal,17.4,8,9,19,3,176,5.2,24,669,22,3008,2,0,0,0,0,100,£0.10,£0.00,3655466,8542,2969587,29167,854,1406.3,720,298.3,37,EVE (H),,,,,,2,86,1,0,3,3,2.8,0.5,0.74
15,Thomas,Thomas,£4.80,2,MID,Arsenal,0.1,0,0,5,3,23,1.8,0,135,4,717,2,0,0,0,0,100,-£0.20,£0.00,38241,31,9371,61,114.4,112.6,36,26.3,37,EVE (H),,,,,,2,48,-2,0,3,3,1,0.11,1
16,Nicolas,Pepe,£4.90,0,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-£0.10,£0.00,6516,1,667,0,0,0,0,0,37,EVE (H),,,,,,2,49,-1,0,3,3,0,0,0
17,Aaron,Ramsdale,£4.50,0,GK,Arsenal,5.4,0,0,2,0,20,3.3,0,90,5,540,0,0,9,0,0,,-£0.50,£0.00,1534065,1010,285679,163,73.2,0,0,7.3,37,EVE (H),,,,,,2,45,-5,0,1,3,0,0,0.97
18,Rúnar Alex,Rúnarsson,£4.00,0,GK,Arsenal,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,11857,13,990,0,0,0,0,0,37,EVE (H),,,,,,2,40,0,0,1,3,0,0,0
19,Bukayo,Saka,£8.90,6.6,MID,Arsenal,50.6,16,12,16,2,226,6.5,29,776,27,2922,4,0,0,0,0,75,£0.40,£0.00,7703319,86189,6969532,12478,1093.8,1319.8,1342,375.7,37,EVE (H),,,,,,2,89,4,0,3,3,3.3,0.81,0.79
20,William,Saliba,£5.90,6,DEF,Arsenal,38.7,2,1,18,9,162,4.4,13,765,28,3330,4,0,0,0,0,100,£0.90,£0.00,3000131,5931,4839205,18615,681.8,146.9,140,97,37,EVE (H),,,,,,2,59,9,0,2,3,3,0.07,0.75
22,Emile,Smith Rowe,£5.30,0,MID,Arsenal,0.1,0,2,3,0,24,2,0,72,3,322,0,0,0,0,0,100,-£0.20,£0.00,18218,20,6550,19,62.4,69.9,118,24.7,37,EVE (H),,,,,,2,53,-2,0,3,3,0,0.56,0.59
24,Kieran,Tierney,£4.40,0,DEF,Arsenal,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-£0.10,£0.00,28902,9,2665,0,0,0,0,0,37,EVE (H),,,,,,2,44,-1,0,2,3,0,0,0
25,Takehiro,Tomiyasu,£4.50,3.8,DEF,Arsenal,0.3,1,1,6,6,61,2.9,3,219,9,1050,0,1,0,0,0,100,£0.00,£0.00,97145,247,93124,2333,203.2,123.7,106,42.9,37,EVE (H),,,,,,2,45,0,0,2,3,1.9,0.16,1.16
26,Leandro,Trossard,£6.50,7.2,MID,Arsenal,2.5,12,2,12,11,136,4.1,11,389,9,1556,2,0,0,0,0,100,-£0.50,£0.00,845554,1127,539537,26518,562.4,369.3,730,166.2,37,EVE (H),,,,,,2,65,-5,0,3,3,3.6,0.64,0.75
29,Benjamin,White,£6.10,7.8,DEF,Arsenal,22.5,4,5,18,6,180,5,14,764,25,2919,8,0,0,0,0,100,£0.60,£0.00,1819792,5238,3157031,33077,756,561.7,230,154.8,37,EVE (H),,,,,,2,61,6,0,2,3,3.9,0.15,0.75
30,Granit,Xhaka,£6.00,0,MID,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,£0.00,£0.00,1238,1,0,0,0,0,0,0,37,EVE (H),,,,,,2,60,0,0,3,3,0,0,0
